site 0,Arundinaria,location,tree_id,dbh,height
site 1,No Arundinaria,35°N 85°W,chestnut oak,7.2,55.8
site 1,No Arundinaria,35°N 85°W,scarlett oak,15.4,70.6
site 1,No Arundinaria,35°N 85°W,sourwood,10.6,54.7
site 1,No Arundinaria,35°N 85°W,scarlett oak,14.1,77.6
site 1,No Arundinaria,35°N 85°W,scarlett oak,17.6,90.0
site 1,No Arundinaria,35°N 85°W,red maple,5.4,42.3
site 2,No Arundinaria,35°N 85°W,tulip poplar,4.2,25.2
site 4,No Arundinaria,35°N 85°W,white oak,19.4,90.8
site 4,No Arundinaria,35°N 85°W,scarlett oak,29.2,93.7
site 4,No Arundinaria,35°N 85°W,red maple,6.3,40.9
site 3,No Arundinaria,35°N 85°W,red maple,7.1,27.8
site 3,No Arundinaria,35°N 85°W,white oak,14.2,97.3
site 3,No Arundinaria,35°N 85°W,red maple,9.1,51.6
site 3,No Arundinaria,35°N 85°W,red maple,10.6,69.1
site 5,No Arundinaria,35°N 85°W,white oak,19.2,82.9
site 5,No Arundinaria,35°N 85°W,scarlett oak,10.4,86.8
site 5,No Arundinaria,35°N 85°W,scarlett oak,18.5,99.2
site 5,No Arundinaria,35°N 85°W,red maple,11.9,68.1
site 5,No Arundinaria,35°N 85°W,chestnut oak,9.6,54.3
site 5,No Arundinaria,35°N 85°W,red maple,5.1,34.0
site 5,No Arundinaria,35°N 85°W,scarlett oak,19,74.9
site 6,No Arundinaria,35°N 85°W,scarlett oak,19,74.9
site 6,No Arundinaria,35°N 85°W,white oak,16.3,80.5
